participant,after initial exchange,"first turn, no greeting","first turn, with greeting",no proposal,saved
1,0,1,5,1,9
2,4,3,0,0,6
3,4,0,1,0,6
4,0,0,0,0,2
5,0,0,0,0,7
6,0,1,3,0,4
7,0,1,1,0,2
8,0,1,6,0,8
9,4,0,0,0,6
10,4,0,2,1,3
11,2,1,0,0,3
12,0,0,1,0,6
13,1,1,0,0,4
14,0,0,0,0,7
15,4,1,0,2,7
16,2,1,1,0,6
17,0,0,0,0,4
18,0,0,0,0,0
19,0,1,3,0,7
20,2,0,3,0,8
21,0,0,0,1,3
22,0,0,2,0,6
23,1,0,1,0,5
24,0,0,0,0,0
25,0,0,0,0,7
26,0,0,3,0,3
27,5,1,1,0,8
28,0,0,0,0,0
29,6,0,0,1,5
30,5,1,4,0,9
31,0,0,3,0,5
